slice_lower_limit,slice_upper_limit,n,a,b,b_std,b_std/abs(b),abs(b)/b_std
1.000e-30,6.800e+25,532,49.178307135460,0.055246259518,0.125003423828,2.262658592981,0.441957970638
1.000e-30,6.900e+25,534,49.364247465837,0.055731130134,0.123661984108,2.218903219998,0.450673103264
1.000e-30,7.000e+25,535,49.601677216183,0.064413255041,0.114293978680,1.774386011205,0.563575227535
1.000e-30,7.100e+25,539,49.980806256809,0.073904322455,0.107470256199,1.454180927845,0.687672339013
1.000e-30,7.200e+25,542,50.741505421963,0.080587285510,0.101688671586,1.261845103024,0.792490296633
1.000e-30,7.300e+25,545,49.862949358902,0.061238098831,0.121966749056,1.991680855292,0.502088473333
1.000e-30,7.400e+25,546,46.778176674210,0.005470958778,0.138933439478,25.394715097062,0.039378272061
1.000e-30,7.500e+25,552,47.545481753003,0.018284154233,0.142979855176,7.819877985788,0.127879233131
1.000e-30,7.600e+25,554,51.039318465532,0.077885631000,0.113539969105,1.457778124762,0.685975446479
1.000e-30,7.700e+25,554,51.039318465532,0.077885631000,0.113539969105,1.457778124762,0.685975446479
1.000e-30,7.800e+25,559,46.860136482026,0.000544768469,0.148718974389,272.994827963121,0.003663073061
1.000e-30,7.900e+25,561,52.000106111128,0.091596173737,0.102341938479,1.117316742648,0.895001356223
1.000e-30,8.000e+25,565,50.131167824937,0.056861544322,0.130514131650,2.295296992152,0.435673467712
1.000e-30,8.100e+25,567,51.897783750119,0.088646798918,0.106319686835,1.199362956509,0.833775959623
1.000e-30,8.200e+25,569,51.464515027350,0.082740096286,0.101790744854,1.230246874530,0.812844983152
1.000e-30,8.300e+25,570,50.838383353145,0.077432491311,0.105388297487,1.361034569637,0.734735195056
1.000e-30,8.400e+25,573,51.990276604695,0.088636308170,0.103686504807,1.169797196521,0.854849031075
1.000e-30,8.500e+25,575,49.136698446382,0.041218493774,0.133949341688,3.249738877441,0.307717031341
1.000e-30,8.600e+25,576,50.397941620258,0.062257631600,0.133859405050,2.150088296156,0.465097178468
1.000e-30,8.700e+25,578,50.126574792481,0.060512814663,0.124407069764,2.055879741461,0.486409773798
1.000e-30,8.800e+25,583,48.212870143631,0.035334211669,0.123304839488,3.489672859905,0.286559812379
1.000e-30,8.900e+25,584,51.047916274428,0.077496850397,0.100778383435,1.300419086959,0.768982868698
1.000e-30,9.000e+25,589,47.633793952130,0.014117540918,0.143890889074,10.192347938450,0.098112820131
1.000e-30,9.100e+25,593,52.560288940637,0.088609659100,0.102442647613,1.156111519374,0.864968459567
1.000e-30,9.200e+25,600,46.475631632308,-0.010250688812,0.145605280507,14.204438665731,0.070400529266
1.000e-30,9.300e+25,602,52.705229302116,0.089938274918,0.101766620319,1.131516258363,0.883769890719
1.000e-30,9.400e+25,604,51.362810673904,0.079587922763,0.102677106081,1.290109133609,0.775128222837
1.000e-30,9.500e+25,606,52.606187344735,0.085045531138,0.103675250679,1.219055831528,0.820306973756
1.000e-30,9.600e+25,607,51.900215595784,0.082170433671,0.105223353258,1.280550053806,0.780914418010
1.000e-30,9.700e+25,611,53.377680931498,0.096237128243,0.098922658657,1.027905346542,0.972852221622
1.000e-30,9.800e+25,611,53.377680931498,0.096237128243,0.098922658657,1.027905346542,0.972852221622
1.000e-30,9.900e+25,613,54.510519834877,0.104769667562,0.101019494980,0.964205550433,1.037123256085
1.000e-30,1.000e+26,614,53.368979091128,0.092722030321,0.105733870777,1.140331703373,0.876937821725
1.000e-30,1.100e+26,632,51.975160366538,0.070592056155,0.119212277567,1.688749188803,0.592154244473
1.000e-30,1.200e+26,649,53.233933056180,0.086254755282,0.113007840177,1.310163593979,0.763263461598
1.000e-30,1.300e+26,662,48.270738393785,0.008471024431,0.148991545929,17.588374008681,0.056855738882
1.000e-30,1.400e+26,674,50.486934382850,0.040893323473,0.143463911801,3.508247792465,0.285042579417
1.000e-30,1.500e+26,689,40.655640404536,-0.181145621484,0.039396657016,0.217486112515,4.597994733708
1.000e-30,1.600e+26,699,39.899520868816,-0.209180082138,0.017301688030,0.082711928656,12.090154542966
1.000e-30,1.700e+26,705,40.390798402253,-0.196123275596,0.050020047951,0.255043914595,3.920893394325
1.000e-30,1.800e+26,714,44.700666554127,-0.061687727818,0.147957146991,2.398485926208,0.416929692634
1.000e-30,1.900e+26,722,40.205784700465,-0.198479125820,0.042632006653,0.214793401961,4.655636490080
1.000e-30,2.000e+26,728,53.101817462268,0.077183766318,0.128364967747,1.663108369422,0.601283727739
1.000e-30,2.100e+26,735,41.419193130365,-0.147801277433,0.093675679465,0.633794789142,1.577797762198
1.000e-30,2.200e+26,742,49.810275882216,0.032123285378,0.156111389666,4.859757893096,0.205771567637
1.000e-30,2.300e+26,753,45.620151059918,-0.036812958601,0.152115204836,4.132110284461,0.242007093509
1.000e-30,2.400e+26,757,54.968529347774,0.107175283163,0.104848691196,0.978291711502,1.022189995318
1.000e-30,2.500e+26,762,52.606387903353,0.073945655400,0.136440332744,1.845143328652,0.541963317685
1.000e-30,2.600e+26,768,54.296482116746,0.093905577647,0.121097659712,1.289568338189,0.775453281836
1.000e-30,2.700e+26,775,53.235801080808,0.093527284143,0.102124763166,1.091924822805,0.915813963667
1.000e-30,2.800e+26,778,55.900317675340,0.113580030041,0.099881062642,0.879389295869,1.137152799901
1.000e-30,2.900e+26,782,49.771576443020,0.038998284809,0.140049562137,3.591172350830,0.278460597907
1.000e-30,3.000e+26,785,48.787467618675,0.018800140062,0.152518633114,8.112632810812,0.123264545964
1.000e-30,3.100e+26,789,50.550945948232,0.038017405700,0.155065847105,4.078811908612,0.245169432277
1.000e-30,3.200e+26,792,55.267764246935,0.100812694302,0.120375719581,1.194053193547,0.837483627534
1.000e-30,3.300e+26,799,48.866127506847,0.012096970553,0.154392339490,12.762892892756,0.078352142293
1.000e-30,3.400e+26,807,55.347933540750,0.097021398323,0.125270616605,1.291164823130,0.774494458094
1.000e-30,3.500e+26,810,47.804575341141,-0.002754027693,0.159505318358,57.917107655114,0.017266055583
1.000e-30,3.600e+26,813,55.372630257025,0.108495902223,0.103396956905,0.953003337326,1.049314268726
1.000e-30,3.700e+26,819,50.626466979876,0.048232756488,0.144107536009,2.987752442538,0.334699751480
1.000e-30,3.800e+26,820,50.085289057689,0.045272033205,0.139400210269,3.079168316508,0.324763019494
1.000e-30,3.900e+26,825,48.388382984736,0.007909518878,0.153434123813,19.398667121835,0.051549933494
1.000e-30,4.000e+26,829,52.521625373735,0.064919268500,0.146129991546,2.250949447257,0.444256978414
1.000e-30,4.100e+26,833,51.031855379873,0.050863399035,0.144394097613,2.838860562823,0.352254003982
1.000e-30,4.200e+26,839,54.921885169888,0.095210415952,0.123861852430,1.300927542344,0.768682318923
1.000e-30,4.300e+26,842,50.746922641034,0.046055255790,0.142392418776,3.091773486730,0.323438959643
1.000e-30,4.400e+26,846,47.446260766472,-0.006530112056,0.152422230465,23.341441795963,0.042842254936
1.000e-30,4.500e+26,848,45.517660769853,-0.045235369897,0.149856638415,3.312820006938,0.301857631234
